"Y","T","D"
42,0,"A"
51,2,"A"
59,4,"A"
64,6,"A"
76,8,"A"
93,10,"A"
106,12,"A"
125,14,"A"
149,16,"A"
171,18,"A"
199,20,"A"
205,21,"A"
40,0,"A"
49,2,"A"
58,4,"A"
72,6,"A"
84,8,"A"
103,10,"A"
122,12,"A"
138,14,"A"
162,16,"A"
187,18,"A"
209,20,"A"
215,21,"A"
43,0,"A"
39,2,"A"
55,4,"A"
67,6,"A"
84,8,"A"
99,10,"A"
115,12,"A"
138,14,"A"
163,16,"A"
187,18,"A"
198,20,"A"
202,21,"A"
42,0,"A"
49,2,"A"
56,4,"A"
67,6,"A"
74,8,"A"
87,10,"A"
102,12,"A"
108,14,"A"
136,16,"A"
154,18,"A"
160,20,"A"
157,21,"A"
41,0,"A"
42,2,"A"
48,4,"A"
60,6,"A"
79,8,"A"
106,10,"A"
141,12,"A"
164,14,"A"
197,16,"A"
199,18,"A"
220,20,"A"
223,21,"A"
41,0,"A"
49,2,"A"
59,4,"A"
74,6,"A"
97,8,"A"
124,10,"A"
141,12,"A"
148,14,"A"
155,16,"A"
160,18,"A"
160,20,"A"
157,21,"A"
41,0,"A"
49,2,"A"
57,4,"A"
71,6,"A"
89,8,"A"
112,10,"A"
146,12,"A"
174,14,"A"
218,16,"A"
250,18,"A"
288,20,"A"
305,21,"A"
42,0,"A"
50,2,"A"
61,4,"A"
71,6,"A"
84,8,"A"
93,10,"A"
110,12,"A"
116,14,"A"
126,16,"A"
134,18,"A"
125,20,"A"
42,0,"A"
51,2,"A"
59,4,"A"
68,6,"A"
85,8,"A"
96,10,"A"
90,12,"A"
92,14,"A"
93,16,"A"
100,18,"A"
100,20,"A"
98,21,"A"
41,0,"A"
44,2,"A"
52,4,"A"
63,6,"A"
74,8,"A"
81,10,"A"
89,12,"A"
96,14,"A"
101,16,"A"
112,18,"A"
120,20,"A"
124,21,"A"
43,0,"A"
51,2,"A"
63,4,"A"
84,6,"A"
112,8,"A"
139,10,"A"
168,12,"A"
177,14,"A"
182,16,"A"
184,18,"A"
181,20,"A"
175,21,"A"
41,0,"A"
49,2,"A"
56,4,"A"
62,6,"A"
72,8,"A"
88,10,"A"
119,12,"A"
135,14,"A"
162,16,"A"
185,18,"A"
195,20,"A"
205,21,"A"
41,0,"A"
48,2,"A"
53,4,"A"
60,6,"A"
65,8,"A"
67,10,"A"
71,12,"A"
70,14,"A"
71,16,"A"
81,18,"A"
91,20,"A"
96,21,"A"
41,0,"A"
49,2,"A"
62,4,"A"
79,6,"A"
101,8,"A"
128,10,"A"
164,12,"A"
192,14,"A"
227,16,"A"
248,18,"A"
259,20,"A"
266,21,"A"
41,0,"A"
49,2,"A"
56,4,"A"
64,6,"A"
68,8,"A"
68,10,"A"
67,12,"A"
68,14,"A"
41,0,"A"
45,2,"A"
49,4,"A"
51,6,"A"
57,8,"A"
51,10,"A"
54,12,"A"
42,0,"A"
51,2,"A"
61,4,"A"
72,6,"A"
83,8,"A"
89,10,"A"
98,12,"A"
103,14,"A"
113,16,"A"
123,18,"A"
133,20,"A"
142,21,"A"
39,0,"A"
35,2,"A"
43,0,"A"
48,2,"A"
55,4,"A"
62,6,"A"
65,8,"A"
71,10,"A"
82,12,"A"
88,14,"A"
106,16,"A"
120,18,"A"
144,20,"A"
157,21,"A"
41,0,"A"
47,2,"A"
54,4,"A"
58,6,"A"
65,8,"A"
73,10,"A"
77,12,"A"
89,14,"A"
98,16,"A"
107,18,"A"
115,20,"A"
117,21,"A"
40,0,"B"
50,2,"B"
62,4,"B"
86,6,"B"
125,8,"B"
163,10,"B"
217,12,"B"
240,14,"B"
275,16,"B"
307,18,"B"
318,20,"B"
331,21,"B"
41,0,"B"
55,2,"B"
64,4,"B"
77,6,"B"
90,8,"B"
95,10,"B"
108,12,"B"
111,14,"B"
131,16,"B"
148,18,"B"
164,20,"B"
167,21,"B"
43,0,"B"
52,2,"B"
61,4,"B"
73,6,"B"
90,8,"B"
103,10,"B"
127,12,"B"
135,14,"B"
145,16,"B"
163,18,"B"
170,20,"B"
175,21,"B"
42,0,"B"
52,2,"B"
58,4,"B"
74,6,"B"
66,8,"B"
68,10,"B"
70,12,"B"
71,14,"B"
72,16,"B"
72,18,"B"
76,20,"B"
74,21,"B"
40,0,"B"
49,2,"B"
62,4,"B"
78,6,"B"
102,8,"B"
124,10,"B"
146,12,"B"
164,14,"B"
197,16,"B"
231,18,"B"
259,20,"B"
265,21,"B"
42,0,"B"
48,2,"B"
57,4,"B"
74,6,"B"
93,8,"B"
114,10,"B"
136,12,"B"
147,14,"B"
169,16,"B"
205,18,"B"
236,20,"B"
251,21,"B"
39,0,"B"
46,2,"B"
58,4,"B"
73,6,"B"
87,8,"B"
100,10,"B"
115,12,"B"
123,14,"B"
144,16,"B"
163,18,"B"
185,20,"B"
192,21,"B"
39,0,"B"
46,2,"B"
58,4,"B"
73,6,"B"
92,8,"B"
114,10,"B"
145,12,"B"
156,14,"B"
184,16,"B"
207,18,"B"
212,20,"B"
233,21,"B"
39,0,"B"
48,2,"B"
59,4,"B"
74,6,"B"
87,8,"B"
106,10,"B"
134,12,"B"
150,14,"B"
187,16,"B"
230,18,"B"
279,20,"B"
309,21,"B"
42,0,"B"
48,2,"B"
59,4,"B"
72,6,"B"
85,8,"B"
98,10,"B"
115,12,"B"
122,14,"B"
143,16,"B"
151,18,"B"
157,20,"B"
150,21,"B"
42,0,"C"
53,2,"C"
62,4,"C"
73,6,"C"
85,8,"C"
102,10,"C"
123,12,"C"
138,14,"C"
170,16,"C"
204,18,"C"
235,20,"C"
256,21,"C"
41,0,"C"
49,2,"C"
65,4,"C"
82,6,"C"
107,8,"C"
129,10,"C"
159,12,"C"
179,14,"C"
221,16,"C"
263,18,"C"
291,20,"C"
305,21,"C"
39,0,"C"
50,2,"C"
63,4,"C"
77,6,"C"
96,8,"C"
111,10,"C"
137,12,"C"
144,14,"C"
151,16,"C"
146,18,"C"
156,20,"C"
147,21,"C"
41,0,"C"
49,2,"C"
63,4,"C"
85,6,"C"
107,8,"C"
134,10,"C"
164,12,"C"
186,14,"C"
235,16,"C"
294,18,"C"
327,20,"C"
341,21,"C"
41,0,"C"
53,2,"C"
64,4,"C"
87,6,"C"
123,8,"C"
158,10,"C"
201,12,"C"
238,14,"C"
287,16,"C"
332,18,"C"
361,20,"C"
373,21,"C"
39,0,"C"
48,2,"C"
61,4,"C"
76,6,"C"
98,8,"C"
116,10,"C"
145,12,"C"
166,14,"C"
198,16,"C"
227,18,"C"
225,20,"C"
220,21,"C"
41,0,"C"
48,2,"C"
56,4,"C"
68,6,"C"
80,8,"C"
83,10,"C"
103,12,"C"
112,14,"C"
135,16,"C"
157,18,"C"
169,20,"C"
178,21,"C"
41,0,"C"
49,2,"C"
61,4,"C"
74,6,"C"
98,8,"C"
109,10,"C"
128,12,"C"
154,14,"C"
192,16,"C"
232,18,"C"
280,20,"C"
290,21,"C"
42,0,"C"
50,2,"C"
61,4,"C"
78,6,"C"
89,8,"C"
109,10,"C"
130,12,"C"
146,14,"C"
170,16,"C"
214,18,"C"
250,20,"C"
272,21,"C"
41,0,"C"
55,2,"C"
66,4,"C"
79,6,"C"
101,8,"C"
120,10,"C"
154,12,"C"
182,14,"C"
215,16,"C"
262,18,"C"
295,20,"C"
321,21,"C"
42,0,"D"
51,2,"D"
66,4,"D"
85,6,"D"
103,8,"D"
124,10,"D"
155,12,"D"
153,14,"D"
175,16,"D"
184,18,"D"
199,20,"D"
204,21,"D"
42,0,"D"
49,2,"D"
63,4,"D"
84,6,"D"
103,8,"D"
126,10,"D"
160,12,"D"
174,14,"D"
204,16,"D"
234,18,"D"
269,20,"D"
281,21,"D"
42,0,"D"
55,2,"D"
69,4,"D"
96,6,"D"
131,8,"D"
157,10,"D"
184,12,"D"
188,14,"D"
197,16,"D"
198,18,"D"
199,20,"D"
200,21,"D"
42,0,"D"
51,2,"D"
65,4,"D"
86,6,"D"
103,8,"D"
118,10,"D"
127,12,"D"
138,14,"D"
145,16,"D"
146,18,"D"
41,0,"D"
50,2,"D"
61,4,"D"
78,6,"D"
98,8,"D"
117,10,"D"
135,12,"D"
141,14,"D"
147,16,"D"
174,18,"D"
197,20,"D"
196,21,"D"
40,0,"D"
52,2,"D"
62,4,"D"
82,6,"D"
101,8,"D"
120,10,"D"
144,12,"D"
156,14,"D"
173,16,"D"
210,18,"D"
231,20,"D"
238,21,"D"
41,0,"D"
53,2,"D"
66,4,"D"
79,6,"D"
100,8,"D"
123,10,"D"
148,12,"D"
157,14,"D"
168,16,"D"
185,18,"D"
210,20,"D"
205,21,"D"
39,0,"D"
50,2,"D"
62,4,"D"
80,6,"D"
104,8,"D"
125,10,"D"
154,12,"D"
170,14,"D"
222,16,"D"
261,18,"D"
303,20,"D"
322,21,"D"
40,0,"D"
53,2,"D"
64,4,"D"
85,6,"D"
108,8,"D"
128,10,"D"
152,12,"D"
166,14,"D"
184,16,"D"
203,18,"D"
233,20,"D"
237,21,"D"
41,0,"D"
54,2,"D"
67,4,"D"
84,6,"D"
105,8,"D"
122,10,"D"
155,12,"D"
175,14,"D"
205,16,"D"
234,18,"D"
264,20,"D"
264,21,"D"
